,ufos,duration_of_sighting,time_of_day
386,5,30.0,1300
387,5,20.0,1647
388,5,35.0,700
389,5,10.0,710
390,1,10.0,1000
391,2,15.0,500
392,2,600.0,712
393,1,5400.0,715
394,6,1800.0,800
395,10,15.0,900
396,1,2700.0,920
397,10,25.0,930
398,6,600.0,1100
399,3,10.0,514
400,1,600.0,1100
401,1,600.0,1100
402,11,600.0,1630
403,5,5400.0,640
404,1,20.0,710
405,1,900.0,930
406,1,900.0,1130
407,13,1800.0,1630
408,14,30.0,730
409,2,600.0,1425
410,6,780.0,530
411,5,15.0,630
412,1,600.0,1730
413,1,50.0,2120
414,11,10.0,200
415,10,600.0,1830
416,13,60.0,1645
417,1,10.0,230
418,2,600.0,630
419,11,720.0,830
420,2,20.0,900
421,1,25.0,1045
422,10,900.0,1045
423,16,600.0,1530
424,3,900.0,720
425,3,30.0,900
426,4,900.0,1026
427,2,30.0,1138
428,10,11.0,1400
429,7,15.0,1730
430,7,10.0,2200
431,10,15.0,238
432,4,600.0,700
433,1,720.0,800
434,4,15.0,822
435,1,25.0,826
436,6,40.0,830
437,3,15.0,830
438,7,15.0,1005
439,6,10.0,1030
440,4,40.0,1054
441,5,10.0,1100
442,7,10.0,1200
443,7,10.0,2250
444,2,20.0,612
445,7,10.0,700
446,4,30.0,700
447,1,10.0,730
448,6,1200.0,747
449,2,20.0,800
450,4,15.0,800
451,1,45.0,830
452,4,10.0,830
453,2,20.0,840
454,1,2700.0,915
455,7,1200.0,930
456,2,900.0,800
457,4,15.0,1900
458,10,30.0,805
459,2,600.0,755
460,4,1800.0,430
461,8,20.0,815
462,6,11.0,1010
463,3,15.0,1050
464,4,900.0,405
465,6,1800.0,630
466,4,600.0,1322
467,4,600.0,1400
468,2,1200.0,25
469,14,10.0,415
470,4,10.0,605
471,4,15.0,700
472,4,10.0,700
473,10,900.0,705
474,2,600.0,1015
475,7,15.0,2330
476,10,1800.0,900
477,6,900.0,924
478,1,0.17,1430
479,2,1800.0,850
480,10,10.0,1300
481,4,1800.0,1536
482,7,30.0,130
483,3,15.0,745
484,3,15.0,900
485,7,15.0,1630
486,1,10.0,300
487,5,600.0,400
488,5,900.0,914
489,1,900.0,925
490,10,600.0,1200
491,6,10.0,2200
492,1,10.0,445
493,0,600.0,500
494,2,10.0,2100
495,3,18.0,937
496,16,2700.0,1000
497,0,20.0,1815
498,1,5400.0,925
499,10,30.0,1430
500,4,30.0,1430
501,4,900.0,630
502,3,45.0,745
503,9,600.0,920
504,9,10.0,1130
505,10,15.0,50
506,2,15.0,445
507,2,1800.0,700
508,1,30.0,900
509,14,10.0,930
510,10,10.0,945
511,15,600.0,945
512,1,35.0,1000
513,14,900.0,1100
514,2,1200.0,1134
515,7,30.0,1340
516,6,10.0,400
517,1,1800.0,400
518,10,1800.0,400
519,2,15.0,700
520,10,15.0,730
521,13,15.0,730
522,3,20.0,815
523,10,15.0,830
524,2,2700.0,1100
525,1,40.0,800
526,1,20.0,800
527,4,15.0,900
528,2,30.0,1930
529,13,15.0,1800
530,5,1200.0,2200
531,7,30.0,700
532,1,10.0,600
533,1,30.0,1200
534,10,15.0,40
535,16,45.0,730
536,16,20.0,800
537,1,1200.0,1100
538,1,10.0,500
539,1,15.0,700
540,7,15.0,1100
541,11,600.0,730
542,13,10.0,900
543,1,25.0,600
544,3,600.0,700
545,1,10.0,730
546,2,25.0,735
547,17,10.0,900
548,6,10.0,1430
549,1,600.0,1500
550,2,0.17,1930
551,3,10.0,2100
552,11,20.0,800
553,1,900.0,1000
554,10,45.0,730
555,13,900.0,1900
556,17,15.0,700
557,1,10.0,800
558,0,25.0,1430
559,16,30.0,700
560,1,20.0,720
561,7,600.0,400
562,1,10.0,900
563,5,30.0,900
564,3,45.0,1300
565,1,30.0,1400
566,2,10.0,755
567,10,2100.0,800
568,1,15.0,1215
569,2,900.0,1030
570,11,900.0,2215
571,4,20.0,600
572,1,30.0,900
573,10,10.0,1030
574,5,15.0,600
575,13,1800.0,100
576,9,1800.0,200
577,4,30.0,700
578,0,1800.0,1000
579,6,480.0,1330
580,4,10.0,300
581,1,10.0,1000
582,4,900.0,1100
583,4,10.0,1245
584,10,1800.0,600
585,3,10.0,1300
586,4,1800.0,1900
587,9,10.0,640
588,7,2100.0,735
589,16,2700.0,815
590,11,10.0,845
591,1,900.0,1000
592,1,900.0,1330
593,16,30.0,800
594,2,15.0,900
595,1,3600.0,915
596,6,15.0,1000
597,2,600.0,1100
598,16,30.0,200
599,1,1200.0,630
600,6,10.0,830
601,6,1800.0,1100
602,1,1800.0,1100
603,1,2700.0,1300
604,1,1800.0,500
605,3,15.0,700
606,3,10.0,800
607,3,10.0,830
