,latitude,longitude,type
328,42.1625,-71.0416667,cylinder
329,32.7833333,-96.8,fireball
330,43.6666667,-92.9744444,circle
331,40.7141667,-74.0063889,egg
332,39.3280556,-120.1822222,sphere
333,37.916104,-85.956247,fireball
334,43.4197222,-85.8,circle
335,41.492537,-99.901813,cigar
336,38.7297222,-120.7975,light
337,40.0991667,-104.9366667,unknown
338,39.1652778,-86.5263889,disk
339,39.0911111,-94.4152778,chevron
340,21.3069444,-157.8583333,triangle
341,34.0522222,-118.2427778,rectangle
342,44.9194444,-123.3158333,light
343,39.7327778,-75.1319444,other
344,37.3394444,-121.8938889,light
345,27.477936,-99.549573,light
346,36.6777778,-121.6544444,formation
347,35.1186111,-120.5897222,circle
348,36.7477778,-119.7713889,rectangle
349,41.314497,-81.83569,light
350,27.5061111,-99.5072222,fireball
351,26.6155556,-80.0572222,formation
352,42.9638889,-78.7380556,light
353,52.683333,-2.016667,formation
354,28.1875,-82.7397222,light
355,44.8041667,-93.1666667,circle
356,36.188137,-94.540496,circle
357,39.32098,-111.093731,formation
358,40.6808333,-112.2622222,light
359,21.344507,-157.974891,light
360,33.5805556,-112.2366667,light
361,33.3702778,-112.5830556,formation
362,32.8794444,-111.7566667,light
363,33.4147222,-111.9086111,triangle
364,30.6941667,-88.0430556,light
365,40.8527778,-74.0425,oval
366,42.2711111,-95.0927778,light
367,53.433333,-1.35,oval
368,36.1658333,-86.7844444,disk
369,41.615591,-87.529487,circle
370,43.161748,-70.648258,disk
371,34.746481,-92.289595,oval
372,47.8211111,-122.3138889,unknown
373,34.0625,-118.1219444,fireball
374,47.0227778,-91.6705556,light
375,30.4211111,-87.2169444,diamond
376,30.6322222,-87.0397222,light
377,51.816667,-1.283333,formation
378,34.2241667,-118.2391667,circle
379,36.3955556,-97.8780556,light
380,35.5361111,-100.9594444,triangle
381,43.2127778,-75.4561111,oval
382,39.0297222,-84.3663889,oval
383,45.2944444,-123.1752778,cylinder
384,45.4077778,-122.5691667,circle
385,-27.597553,152.7455,unknown
386,47.6063889,-122.3308333,triangle
387,35.0241667,-81.0280556,light
388,30.2458333,-87.7008333,disk
389,51.514125,-0.093689,unknown
390,46.62794,14.30899,chevron
391,25.9013889,-97.4972222,disk
392,37.9780556,-122.03,light
393,35.6708333,-80.4744444,sphere
394,-27.088079,152.928057,cylinder
395,41.1669444,-73.2052778,circle
396,39.5122222,-76.7697222,sphere
397,33.9533333,-117.3952778,light
398,26.1416667,-81.795,triangle
399,31.2577778,-95.9780556,light
400,41.885738,-87.969213,changing
401,35.0844444,-106.6505556,fireball
402,34.0522222,-118.2427778,triangle
403,48.50389,-122.23611,unknown
404,40.7616667,-73.3297222,other
405,37.9833333,-75.8541667,light
406,47.55,-52.666667,flash
407,42.3713889,-83.4702778,triangle
408,33.5386111,-112.1852778,egg
409,38.2541667,-85.7594444,disk
410,26.7052778,-80.0366667,oval
411,41.9666667,-71.55,circle
412,39.5741667,-86.8652778,flash
413,43.0730556,-89.4011111,light
414,33.8491667,-118.3875,other
415,46.553733,-120.383162,rectangle
416,42.6525,-73.7566667,oval
417,26.7052778,-80.0366667,sphere
418,38.6786111,-121.2247222,changing
419,44.8277778,-92.9436111,light
420,34.1361111,-117.8644444,circle
421,33.0416667,-116.8672222,triangle
422,37.5958333,-122.0180556,other
423,42.586888,-82.919551,fireball
424,37.8902778,-88.3030556,chevron
425,36.0397222,-114.9811111,other
426,37.6775,-113.0611111,light
427,41.6005556,-93.6088889,light
428,41.6361111,-70.9347222,circle
429,33.9133333,-78.3041667,circle
430,37.7622222,-84.8433333,unknown
431,42.2625,-71.8027778,unknown
432,40.6377778,-74.4513889,sphere
433,42.6105556,-71.2347222,light
434,40.695655,-73.325675,disk
435,41.6347222,-84.9994444,cigar
436,39.2544444,-76.7002778,light
437,41.2788889,-75.8786111,fireball
438,43.0830556,-73.785,circle
439,41.2052778,-76.0052778,diamond
440,32.3122222,-106.7777778,fireball
441,47.3525,-121.9825,triangle
442,40.155,-74.8291667,diamond
443,33.4483333,-112.0733333,sphere
444,41.6572222,-87.68,circle
445,43.4194444,-83.9508333,chevron
446,43.25,-79.833333,cylinder
447,41.7297222,-93.6055556,circle
448,26.8230556,-80.1388889,light
449,43.866667,-79.033333,circle
450,42.2916667,-85.5872222,fireball
451,38.9716667,-95.235,unknown
452,39.103118,-84.51202,fireball
453,44.4905556,-73.1113889,light
454,39.1619444,-84.4569444,circle
455,39.1619444,-84.4569444,fireball
456,26.1416667,-81.795,light
457,32.543889,-83.596111,light
458,39.1619444,-84.4569444,fireball
459,38.9458333,-84.6805556,fireball
460,42.4736111,-72.0066667,fireball
461,33.5966667,-83.8602778,light
462,39.7463889,-84.2866667,sphere
463,43.0297222,-76.0047222,chevron
464,26.9338889,-80.0944444,light
465,28.0833333,-80.6083333,sphere
466,45.3561111,-92.6333333,sphere
467,41.88,-88.0077778,formation
468,45.583333,-72.0,light
469,40.8758333,-81.4025,fireball
470,42.4566667,-83.9463889,fireball
471,37.4791667,-82.5188889,disk
472,33.590355,130.401716,disk
473,39.0997222,-94.5783333,disk
474,38.7230556,-80.65,circle
475,38.007059,-119.012259,circle
476,43.3652778,-72.1738889,rectangle
477,61.9919444,-146.7686111,unknown
478,40.9166667,-74.1722222,disk
479,39.7338889,-90.2288889,unknown
480,41.6638889,-83.5552778,sphere
481,36.1538889,-95.9925,disk
482,36.1658333,-86.7844444,disk
483,36.0688889,-79.4008333,triangle
484,30.3958333,-88.8852778,other
485,37.2438889,-77.4105556,sphere
486,41.5241667,-76.4011111,disk
487,53.55,-113.5,diamond
488,42.8863889,-78.8786111,light
489,48.5127778,-122.6113889,light
490,42.1083333,-91.285,unknown
491,44.5647222,-123.2608333,disk
492,42.5680556,-78.4791667,sphere
493,38.8922222,-89.4130556,circle
494,56.031639,-121.905722,sphere
495,44.98,-93.2636111,disk
496,42.3583333,-71.0602778,cigar
497,43.3616667,-70.4772222,circle
498,37.775,-122.4183333,oval
499,14.058324,108.277199,light
500,44.233333,-76.483333,sphere
501,40.7141667,-74.0063889,disk
502,36.3727778,-94.2086111,other
503,41.524898,-119.05102,oval
504,27.9472222,-82.4586111,other
505,40.7141667,-74.0063889,disk
506,-33.137551,81.826172,light
507,34.1477778,-118.1436111,disk
508,37.9388889,-97.0194444,unknown
509,33.2147222,-97.1327778,unknown
510,31.6261111,-97.5997222,disk
511,47.8555556,-121.9697222,rectangle
512,35.002778,-82.652778,chevron
513,39.7927778,-87.3708333,sphere
514,36.8527778,-75.9783333,disk
515,39.1652778,-86.5263889,light
516,45.012466,-92.991883,triangle
517,43.2166667,-123.3405556,cylinder
518,36.9086111,-116.7583333,disk
519,35.1405556,-85.2327778,oval
520,41.2377778,-81.9316667,disk
521,33.2147222,-97.1327778,unknown
522,40.4188889,-80.5897222,sphere
523,39.92077,32.85411,changing
524,46.4736111,-93.8986111,unknown
525,40.7841667,-74.6972222,light
526,44.314844,-85.602364,triangle
527,33.0580556,-112.0469444,changing
528,40.9636111,-81.3313889,disk
529,43.0986111,-77.4422222,disk
530,28.0611111,-82.3025,disk
531,38.161861,-121.611621,light
532,33.7091667,-117.9527778,other
533,40.5763889,-124.2627778,other
534,35.9983333,-76.9463889,cone
535,31.0944444,-92.4002778,disk
536,40.9852778,-86.8794444,cylinder
537,33.7922222,-118.3141667,disk
538,39.2402778,-76.8397222,rectangle
539,42.8863889,-78.8786111,light
540,47.0380556,-122.8994444,disk
541,40.4405556,-79.9961111,disk
542,40.3161111,-74.5141667,light
543,37.5483333,-121.9875,other
544,34.1469444,-86.1305556,fireball
545,40.2977778,-77.8744444,formation
546,40.7280556,-74.0780556,cigar
547,43.5688889,-86.0394444,oval
548,38.056468,-83.943256,disk
549,42.9572222,-83.8305556,fireball
550,52.466667,-1.916667,sphere
551,42.5611111,-71.5902778,unknown
552,40.256648,-79.818468,oval
553,35.8966667,-77.5361111,disk
554,44.4269444,-124.0675,light
555,34.2572222,-118.6002778,light
556,43.5341667,-70.9102778,triangle
557,27.9375,-82.2861111,triangle
558,43.4133333,-86.0794444,light
559,34.9852778,-80.5497222,sphere
560,41.7386111,-80.77,triangle
561,35.423335,-120.618785,other
562,38.9716667,-95.235,sphere
563,42.225,-121.7805556,circle
564,41.389491,-82.019032,triangle
565,40.0638889,-80.7211111,light
566,46.216667,-63.483333,sphere
567,43.2166667,-123.3405556,oval
568,43.1488889,-72.3611111,fireball
569,36.0988889,-78.3013889,triangle
570,43.9147222,-113.6125,disk
571,37.99,-84.1797222,oval
572,39.7338889,-90.2288889,circle
573,41.5619444,-73.6030556,oval
574,38.6172222,-121.3272222,rectangle
575,44.8830556,-68.6725,disk
576,48.0511111,-119.9022222,oval
577,33.7358333,-118.2913889,light
578,42.0969444,-79.2355556,light
579,34.8297222,-82.6016667,other
580,33.78,-118.2616667,circle
581,35.7563889,-83.9705556,cigar
582,34.7463889,-92.2894444,triangle
583,36.1325,-88.5186111,disk
584,36.175,-115.1363889,cigar
585,34.7047222,-85.2819444,other
586,38.812963,-120.030183,sphere
587,32.5402778,-82.9038889,triangle
588,37.2152778,-93.2980556,egg
589,32.5005556,-94.7402778,unknown
590,33.4147222,-111.9086111,triangle
591,40.2986111,-83.0680556,light
592,45.4297222,-108.5325,light
593,36.3377778,-96.8036111,triangle
594,40.7141667,-74.0063889,disk
595,31.243787,-90.453153,changing
596,42.1486111,-72.6083333,changing
597,34.4208333,-119.6972222,triangle
598,38.2430556,-93.3816667,cigar
599,36.175,-115.1363889,circle
600,40.4436111,-76.4286111,disk
601,38.4783333,-82.6380556,disk
602,40.4619444,-78.2,rectangle
603,51.021111,-3.104722,light
604,41.5733333,-87.7844444,other
605,40.6836111,-73.5105556,triangle
606,43.1977778,-70.8741667,triangle
607,38.609741,-122.254045,sphere
608,29.7630556,-95.3630556,formation
609,39.2275,-83.2705556,triangle
610,40.7141667,-74.0063889,oval
611,37.3230556,-122.0311111,sphere
612,32.8338889,-109.7069444,sphere
613,30.1577778,-95.4891667,fireball
614,47.4736111,-94.88,triangle
615,32.9125,-96.6386111,rectangle
616,42.4811111,-74.6108333,other
617,43.804133,-120.554201,rectangle
618,35.2269444,-80.8433333,cigar
619,44.5191667,-88.0197222,light
620,34.6422222,-82.4561111,triangle
621,41.6527778,-70.2833333,triangle
622,41.1416667,-87.875,triangle
623,43.4222222,-123.2972222,light
624,36.6913889,-79.8727778,other
625,33.0183333,-80.1758333,triangle
626,28.0391667,-81.95,light
627,41.7355556,-111.8336111,triangle
628,45.5236111,-122.675,light
629,45.2113889,-122.9755556,fireball
630,47.0566667,-122.7,disk
631,35.2333333,-106.6638889,fireball
632,37.2255556,-107.5975,light
633,37.775,-122.4183333,sphere
634,42.0372222,-88.2811111,disk
635,32.9594444,-117.2644444,fireball
636,32.8472222,-117.2733333,fireball
637,42.9955556,-71.4552778,oval
638,40.7419444,-95.0380556,triangle
