,latitude,longitude,type
273,39.7391667,-104.9841667,1
274,31.2516667,-89.8375,17
275,39.2191667,-121.06,10
276,40.7425,-84.1052778,17
277,37.2152778,-93.2980556,5
278,39.5297222,-119.8127778,3
279,42.1625,-71.0416667,0
280,32.7833333,-96.8,5
281,43.6666667,-92.9744444,2
282,40.7141667,-74.0063889,14
283,39.3280556,-120.1822222,3
284,37.916104,-85.956247,5
285,43.4197222,-85.8,2
286,41.492537,-99.901813,7
287,38.7297222,-120.7975,1
288,39.1652778,-86.5263889,4
289,39.0911111,-94.4152778,9
290,21.3069444,-157.8583333,10
291,34.0522222,-118.2427778,8
292,44.9194444,-123.3158333,1
293,37.3394444,-121.8938889,1
294,27.477936,-99.549573,1
295,36.6777778,-121.6544444,11
296,35.1186111,-120.5897222,2
297,36.7477778,-119.7713889,8
298,41.314497,-81.83569,1
299,27.5061111,-99.5072222,5
300,26.6155556,-80.0572222,11
301,42.9638889,-78.7380556,1
302,52.683333,-2.016667,11
303,28.1875,-82.7397222,1
304,44.8041667,-93.1666667,2
305,36.188137,-94.540496,2
306,39.32098,-111.093731,11
307,40.6808333,-112.2622222,1
308,21.344507,-157.974891,1
309,33.5805556,-112.2366667,1
310,33.3702778,-112.5830556,11
311,32.8794444,-111.7566667,1
312,33.4147222,-111.9086111,10
313,30.6941667,-88.0430556,1
314,40.8527778,-74.0425,6
315,42.2711111,-95.0927778,1
316,53.433333,-1.35,6
317,36.1658333,-86.7844444,4
318,41.615591,-87.529487,2
319,43.161748,-70.648258,4
320,34.746481,-92.289595,6
321,34.0625,-118.1219444,5
322,47.0227778,-91.6705556,1
323,30.4211111,-87.2169444,15
324,30.6322222,-87.0397222,1
325,51.816667,-1.283333,11
326,34.2241667,-118.2391667,2
327,36.3955556,-97.8780556,1
328,35.5361111,-100.9594444,10
329,43.2127778,-75.4561111,6
330,39.0297222,-84.3663889,6
331,45.2944444,-123.1752778,0
332,45.4077778,-122.5691667,2
333,47.6063889,-122.3308333,10
334,35.0241667,-81.0280556,1
335,30.2458333,-87.7008333,4
336,46.62794,14.30899,9
337,25.9013889,-97.4972222,4
338,37.9780556,-122.03,1
339,35.6708333,-80.4744444,3
340,-27.088079,152.928057,0
341,41.1669444,-73.2052778,2
342,39.5122222,-76.7697222,3
343,33.9533333,-117.3952778,1
344,26.1416667,-81.795,10
345,31.2577778,-95.9780556,1
346,41.885738,-87.969213,13
347,35.0844444,-106.6505556,5
348,34.0522222,-118.2427778,10
349,37.9833333,-75.8541667,1
350,47.55,-52.666667,16
351,42.3713889,-83.4702778,10
352,33.5386111,-112.1852778,14
353,38.2541667,-85.7594444,4
354,26.7052778,-80.0366667,6
355,41.9666667,-71.55,2
356,39.5741667,-86.8652778,16
357,43.0730556,-89.4011111,1
358,46.553733,-120.383162,8
359,42.6525,-73.7566667,6
360,26.7052778,-80.0366667,3
361,38.6786111,-121.2247222,13
362,44.8277778,-92.9436111,1
363,34.1361111,-117.8644444,2
364,33.0416667,-116.8672222,10
365,42.586888,-82.919551,5
366,37.8902778,-88.3030556,9
367,37.6775,-113.0611111,1
368,41.6005556,-93.6088889,1
369,41.6361111,-70.9347222,2
370,33.9133333,-78.3041667,2
371,40.6377778,-74.4513889,3
372,42.6105556,-71.2347222,1
373,40.695655,-73.325675,4
374,41.6347222,-84.9994444,7
375,39.2544444,-76.7002778,1
376,41.2788889,-75.8786111,5
377,43.0830556,-73.785,2
378,41.2052778,-76.0052778,15
